id,name,party,sector,country
UvdL,Ursula von der Leyen,CDU,Politik,Deutschland
500,Folge 500,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
500,Folge 500,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
500,Folge 500,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,Linke,Politik,Deutschland
500,Folge 500,Linke,Politik,Deutschland
CL,Christian Lindner,FDP,Politik,Deutschland
501,Folge 501,FDP,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
501,Folge 501,CDU,Politik,Deutschland
AB,Annalena Baerbock,Grüne,Politik,Deutschland
502,Folge 502,Grüne,Politik,Deutschland
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
502,Folge 502,FDP,Politik,Deutschland
RH,Robert Habeck ,Grüne,Politik,Deutschland
503,Folge 503,Grüne,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
503,Folge 503,SPD,Politik,Deutschland
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,CDU,Politik,Deutschland
